puesto,categoria,palabras_clave,verbos_accion,habilidades_sugeridas
Enfermero/a,Salud,"Atención al paciente,Administración de medicamentos,RCP,Signos vitales","Atendí,Administré,Monitoricé,Asistí,Cuidé","RCP,Administración de medicamentos,Primeros auxilios,Cuidados de enfermería"
Médico Clínico,Salud,"Diagnóstico,Tratamiento,Atención primaria,Historia clínica","Diagnostiqué,Traté,Evalué,Prescribí,Atendí","Diagnóstico clínico,Tratamiento,Urgencias,Historia clínica electrónica"
Kinesiólogo,Salud,"Rehabilitación,Terapia física,Tratamiento,Evaluación funcional","Traté,Rehabilité,Evalué,Planifiqué,Asistí","Rehabilitación,Terapia manual,Kinesiología deportiva,Evaluación funcional"
Psicólogo/a,Salud,"Terapia,Evaluación psicológica,Diagnóstico,Orientación","Evalué,Diagnostiqué,Traté,Orienté,Acompañé","Terapia cognitivo-conductual,Evaluación psicológica,Psicodiagnóstico,Orientación"
Farmacéutico,Salud,"Dispensación,Atención farmacéutica,Control de stock,Medicamentos","Dispensé,Asesoré,Controlé,Gestioné,Atendí","Farmacología,Dispensación,Atención al público,Control de stock,Farmacias"
Maestro/a de Primaria,Educación,"Planificación didáctica,Evaluación,Enseñanza,Manejo de aula","Planifiqué,Enseñé,Evalué,Desarrollé,Guié","Pedagogía,Planificación didáctica,Google Classroom,Evaluación,Didáctica"
Profesor/a de Secundaria,Educación,"Enseñanza,Evaluación,Planificación de clases,Didáctica específica","Enseñé,Planifiqué,Evalué,Desarrollé,Coordiné","Didáctica,Planificación,Evaluación,Herramientas digitales educativas"
Profesor/a de Inglés,Educación,"Enseñanza de inglés,Evaluación,Cambridge,TOEFL,Didáctica","Enseñé,Preparé,Evalué,Desarrollé,Capacité","Enseñanza de inglés,Cambridge,Didáctica de idiomas,Evaluación oral y escrita"
Coordinador Académico,Educación,"Coordinación académica,Gestión educativa,Supervisión docente","Coordiné,Supervisé,Planifiqué,Gestioné,Evalué","Gestión académica,Coordinación docente,Planificación curricular,Liderazgo"
Tutor Académico,Educación,"Acompañamiento,Clases particulares,Orientación académica","Enseñé,Acompañé,Orienté,Reforcé,Expliqué","Didáctica,Pedagogía,Paciencia,Planificación de clases,Evaluación"
Ingeniero Civil,Ingeniería,"Cálculo estructural,AutoCAD,Obra,Planificación,Presupuestos","Diseñé,Calculé,Supervisé,Planifiqué,Coordiné","AutoCAD,Cálculo estructural,Dirección de obra,Presupuestos,Project"
Arquitecto,Ingeniería,"Diseño arquitectónico,AutoCAD,Revit,Renders,Planos","Diseñé,Proyecté,Modelé,Coordiné,Supervisé","AutoCAD,Revit,SketchUp,Renders,3D Max,Diseño arquitectónico"
Ingeniero Industrial,Ingeniería,"Optimización de procesos,Mejora continua,Lean,Planificación","Optimicé,Implementé,Analicé,Diseñé,Mejoré","Lean Manufacturing,Six Sigma,Excel,Project,Optimización de procesos"
Técnico Electromecánico,Ingeniería,"Mantenimiento,Reparación,Instalaciones eléctricas,Equipos industriales","Mantuve,Reparé,Instalé,Diagnostiqué,Previne","Mantenimiento electromecánico,Electricidad,Mecánica,PLC,Instrumentación"
Técnico Electricista,Ingeniería,"Instalaciones eléctricas,Mantenimiento,Tableros,Normativa eléctrica","Instalé,Mantuve,Reparé,Diseñé,Revisé","Electricidad,Tableros eléctricos,Instalaciones,Normativa eléctrica"
Abogado,Legal,"Derecho,Litigios,Asesoramiento legal,Contratos,Investigación jurídica","Asesoré,Representé,Redacté,Litigué,Negocié","Derecho civil,Laboral,Comercial,Redacción de contratos,Litigios"
Asistente Legal,Legal,"Gestión documental,Investigación,Redacción,Trámites judiciales","Asistí,Redacté,Investigué,Organicé,Gestioné","Redacción legal,Gestión documental,Investigación jurídica,Trámites judiciales"
Escribano,Legal,"Escrituras,Certificaciones,Trámites notariales,Derecho notarial","Redacté,Certifiqué,Autentiqué,Tramité,Asesoré","Derecho notarial,Escrituras,Certificaciones,Protocolización"
Chef,Gastronomía,"Cocina,Creación de menús,Control de costos,Gestión de equipo","Preparé,Creé,Supervisé,Gestioné,Desarrollé","Cocina,Creación de menús,HACCP,Control de costos,Gastronomía"
Cocinero,Gastronomía,"Preparación de alimentos,Mise en place,Cocina,Higiene alimentaria","Preparé,Elaboré,Organicé,Mantuve,Ejecuté","Cocina,Mise en place,Higiene alimentaria,HACCP,Trabajo en equipo"
Mozo/Camarero,Gastronomía,"Atención al cliente,Servicio de mesa,Cobro,Ventas sugestivas","Atendí,Serví,Asesoré,Cobré,Organicé","Atención al cliente,Servicio de mesa,Manejo de bandeja,Cobro,Ventas"
Bartender,Gastronomía,"Coctelería,Atención al cliente,Caja,Barras,Mixología","Preparé,Atendí,Creé,Gestioné,Serví","Coctelería,Mixología,Atención al cliente,Barras,Caja"
Gerente de Restaurante,Gastronomía,"Gestión de restaurante,Control de costos,RRHH,Atención al cliente","Gestioné,Supervisé,Controlé,Coordiné,Mejoré","Gestión gastronómica,Control de costos,Liderazgo,RRHH,Atención al cliente"
Operario de Producción,Producción,"Línea de producción,Control de calidad,Maquinaria,Procesos","Operé,Produje,Controlé,Mantuve,Inspeccioné","Manejo de maquinaria,Control de calidad,Producción,Normas de seguridad"
Supervisor de Producción,Producción,"Supervisión,Control de calidad,Gestión de equipo,KPI,Mejora continua","Supervisé,Coordiné,Optimicé,Controlé,Lideré","Supervisión,Control de producción,Lean,5S,Gestión de equipos,KPI"
Jefe de Mantenimiento,Producción,"Mantenimiento preventivo,Gestión de equipos,Planificación,Seguridad","Planifiqué,Coordiné,Supervisé,Mantuve,Gestioné","Mantenimiento,TPM,Gestión de equipos,Planificación,Seguridad industrial"
Analista de Calidad,Producción,"Control de calidad,ISO,Auditorías,No conformidades,Mejora continua","Audité,Implementé,Controlé,Analicé,Mejoré","ISO 9001,Control de calidad,Auditorías,Sistemas de gestión,Mejora continua"
Técnico de Calidad,Producción,"Inspección,Ensayos,Documentación,Control de procesos","Inspeccioné,Controlé,Documenté,Verifiqué,Medí","Control de calidad,Instrumentos de medición,Inspección,Documentación técnica"
Chofer de Reparto,Logística,"Distribución,Rutas,Atención al cliente,Documentación","Entregué,Distribuí,Planifiqué,Coordiné,Atendí","Manejo,Distribución,Rutas,Atención al cliente,Documentación"
Encargado de Depósito,Logística,"Gestión de stock,Recepción,Despacho,Inventario,Picking","Gestioné,Supervisé,Controlé,Recibí,Despacché","Gestión de stock,Picking,Inventario,WMS,Control de mercadería"
Analista de Logística,Logística,"Planificación,Distribución,Análisis de costos,KPI,Optimización","Planifiqué,Optimicé,Analicé,Coordiné,Controlé","Logística,Supply Chain,Excel,Planificación,KPI,Optimización de rutas"
Recepcionista,Administración,"Atención al público,Teléfono,Agenda,Recepción de visitas","Atendí,Recibí,Coordiné,Gestioné,Organicé","Atención al cliente,Teléfono,Agenda,Recepción,Organización"
Secretaria,Administración,"Gestión de agenda,Documentación,Atención telefónica,Organización","Gestioné,Coordiné,Organicé,Redacté,Asistí","Excel,Word,Outlook,Gestión de agenda,Redacción,Organización"
